cluster_id,cluster_name,init_belief_bin,count,cluster_total,init_bin_total,corpus_total,prop_within_cluster,prop_within_init_bin,prop_within_corpus
0,cluster_0,very_low,3,44,4,84,0.06818181818181818,0.75,0.03571428571428571
0,cluster_0,low,0,44,4,84,0.0,0.0,0.0
0,cluster_0,mid,19,44,22,84,0.4318181818181818,0.8636363636363636,0.2261904761904762
0,cluster_0,high,15,44,30,84,0.3409090909090909,0.5,0.17857142857142858
0,cluster_0,very_high,7,44,24,84,0.1590909090909091,0.2916666666666667,0.08333333333333333
1,cluster_1,very_low,1,40,4,84,0.025,0.25,0.011904761904761904
1,cluster_1,low,4,40,4,84,0.1,1.0,0.047619047619047616
1,cluster_1,mid,3,40,22,84,0.075,0.13636363636363635,0.03571428571428571
1,cluster_1,high,15,40,30,84,0.375,0.5,0.17857142857142858
1,cluster_1,very_high,17,40,24,84,0.425,0.7083333333333334,0.20238095238095238
