model,term,coef,se,p_value,n_obs,fit_metric
logit_strategies_only,mean_logos_z,0.21172108729424047,0.25229458779938074,0.40136716316617715,84,0.02092765922627704
logit_strategies_only,mean_pathos_z,0.13251090804235194,0.23009818059854856,0.5646905140345678,84,0.02092765922627704
logit_strategies_only,mean_ethos_z,0.263544804508238,0.22705090359330074,0.2457517012590228,84,0.02092765922627704
logit_plus_baseline,mean_logos_z,0.12713477295085882,0.258039726956748,0.6222284132234723,84,0.11203435651118177
logit_plus_baseline,mean_pathos_z,0.7603280400692267,0.3749412755395701,0.04257464068259644,84,0.11203435651118177
logit_plus_baseline,mean_ethos_z,0.030821453769056463,0.25413954462220867,0.9034711001574648,84,0.11203435651118177
logit_plus_baseline,baseline_belief_z,1.0366925384780024,0.3458821943742198,0.002724346144869685,84,0.11203435651118177
ols_plus_baseline,mean_logos_z,0.031224235428700897,0.052694986736685816,0.5551769500389203,84,0.14354089370262235
ols_plus_baseline,mean_pathos_z,0.15306499997073592,0.0648678372037101,0.020761383155254096,84,0.14354089370262235
ols_plus_baseline,mean_ethos_z,0.0003964989364609161,0.05632495552124697,0.9944010925896095,84,0.14354089370262235
ols_plus_baseline,baseline_belief_z,0.22328895863186,0.0684780229701768,0.001641154920828656,84,0.14354089370262235
